NB,H_BS,H_PRODUCT,HS_UPI,H_DVCS,TP_STATUS2,CANADA,CANADIAN_DERIVATIVE_STATUS,CLEARING_THRESHOLD_EXEEDED
36230941,B,CURR_FXD_FXD,ForeignExchange:Forward,D                                                 ,LIVE,Y,Y,
36233148,B,CURR_FXD_FXD,ForeignExchange:Forward,D                                                 ,LIVE,Y,Y,
36233214,B,CURR_FXD_FXD,ForeignExchange:Forward,D                                                 ,LIVE,Y,Y,
36233307,B,CURR_FXD_FXD,ForeignExchange:Forward,D                                                 ,LIVE,Y,Y,
36233308,B,CURR_FXD_FXD,ForeignExchange:Forward,D                                                 ,LIVE,Y,Y,
36233310,B,CURR_FXD_FXD,ForeignExchange:Forward,D                                                 ,MKT_OP,Y,Y,
36233312,B,CURR_FXD_FXD,ForeignExchange:Forward,D                                                 ,LIVE,Y,Y,
36233313,B,CURR_FXD_FXD,ForeignExchange:Forward,D                                                 ,LIVE,Y,Y,
36233321,B,CURR_FXD_FXD,ForeignExchange:Forward,D                                                 ,MKT_OP,Y,Y,
36233322,B,CURR_FXD_FXD,ForeignExchange:Forward,D                                                 ,MKT_OP,Y,Y,
36233328,B,CURR_FXD_FXD,ForeignExchange:Forward,D                                                 ,LIVE,Y,Y,
36233329,B,CURR_FXD_FXD,ForeignExchange:Forward,D                                                 ,LIVE,Y,Y,
36233332,B,CURR_FXD_FXD,ForeignExchange:Forward,D                                                 ,LIVE,Y,Y,
36233333,B,CURR_FXD_FXD,ForeignExchange:Forward,D                                                 ,LIVE,Y,Y,
36233345,B,CURR_FXD_FXD,ForeignExchange:Forward,D                                                 ,MKT_OP,Y,Y,
36233350,B,CURR_FXD_FXD,ForeignExchange:Forward,D                                                 ,LIVE,Y,Y,
36233359,B,CURR_FXD_FXD,ForeignExchange:Forward,D                                                 ,LIVE,Y,Y,
36262462,B,IRD_CS,InterestRate:CrossCurrency:FixedFixed,,LIVE,Y,Y,
36265793,B,IRD_CS,InterestRate:CrossCurrency:FixedFixed,,LIVE,,Y,
36266374,B,IRD_CS,InterestRate:CrossCurrency:FixedFixed,,LIVE,Y,Y,
36266568,B,IRD_IRS,InterestRate:IRSwap:FixedFloat,,MKT_OP,Y,Y,
36266665,B,IRD_CS,InterestRate:CrossCurrency:FixedFixed,,LIVE,Y,Y,
36268321,B,IRD_CS,InterestRate:CrossCurrency:FixedFixed,,LIVE,,Y,
36268470,B,IRD_CS,InterestRate:CrossCurrency:FixedFixed,,LIVE,,Y,
36268533,B,IRD_CS,InterestRate:CrossCurrency:FixedFixed,,LIVE,,Y,
36268583,B,IRD_CS,InterestRate:CrossCurrency:FixedFixed,,LIVE,,Y,
36268839,B,IRD_CS,InterestRate:CrossCurrency:FixedFixed,,LIVE,Y,Y,
36269024,B,IRD_CS,InterestRate:CrossCurrency:FixedFixed,,LIVE,Y,Y,
36269165,B,IRD_IRS,InterestRate:IRSwap:FixedFloat,,MKT_OP,N,N,N
36269229,B,IRD_CS,InterestRate:CrossCurrency:FixedFixed,,LIVE,Y,Y,
36269319,B,IRD_CS,InterestRate:CrossCurrency:FixedFixed,,LIVE,Y,Y,
36269569,B,IRD_CS,InterestRate:CrossCurrency:FixedFixed,,LIVE,Y,Y,
36269627,B,IRD_CS,InterestRate:CrossCurrency:FixedFixed,,LIVE,Y,Y,
36269779,B,IRD_CS,InterestRate:CrossCurrency:FixedFixed,,LIVE,Y,Y,
36269880,B,IRD_CS,InterestRate:CrossCurrency:FixedFixed,,LIVE,Y,Y,
36270165,B,IRD_CS,InterestRate:CrossCurrency:FixedFixed,,LIVE,Y,Y,
36270378,B,IRD_CS,InterestRate:CrossCurrency:FixedFixed,,LIVE,Y,Y,
36270635,B,IRD_IRS,InterestRate:IRSwap:FixedFloat,,MKT_OP,N,N,N
36270770,B,IRD_CS,InterestRate:CrossCurrency:FixedFixed,,LIVE,Y,Y,
36270776,B,IRD_CS,InterestRate:CrossCurrency:FixedFixed,,LIVE,Y,Y,
36270897,B,IRD_CS,InterestRate:CrossCurrency:FixedFixed,,LIVE,Y,Y,
36270980,B,IRD_CS,InterestRate:CrossCurrency:FixedFixed,,LIVE,Y,Y,
36271031,B,IRD_CS,InterestRate:CrossCurrency:FixedFixed,,LIVE,Y,Y,
36271054,B,IRD_CS,InterestRate:CrossCurrency:FixedFixed,,LIVE,Y,Y,
